"Last & first names","Test","Protocol","Date","Time","#","TFlight","TContact","Elevation","Power","Pace[step/s]","TStance","WalkingPointX","WalkingPointGapX","StepWidth","WalkingPointY","WalkingPointGapY"
"Player 1","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:26 PM",1,0.34,NA,5.6,NA,NA,NA,NA,NA,0.41,NA,NA
"Player 1","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:26 PM",2,0.37,0.486,6.6,15.67,1.17,0.486,0.272,0.272,0.456,0.682,0.682
"Player 1","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:26 PM",3,0.384,0.49,7.1,16.47,1.14,0.49,0.751,0.479,0.474,0.719,0.036
"Player 1","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:26 PM",4,0.352,0.486,6,14.59,1.19,0.486,0.272,-0.479,0.407,1.709,0.991
"Player 1","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:26 PM",5,0.364,0.504,6.4,15.07,1.15,0.504,0.581,0.308,0.526,1.844,0.135
"Player 1","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:26 PM",6,NA,NA,NA,NA,NA,NA,0.325,-0.256,4.516,2.631,0.787
"Player 1","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:42 PM",1,0.35,NA,5.9,NA,NA,NA,NA,NA,0.36,NA,NA
"Player 1","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:42 PM",2,0.352,0.492,6,14.52,1.18,0.492,0.666,0.666,0.373,0.495,0.495
"Player 1","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:42 PM",3,0.336,0.496,5.4,13.55,1.2,0.496,1.007,0.341,0.542,1.588,1.093
"Player 1","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:42 PM",4,0.308,0.478,4.6,12.18,1.27,0.478,1.093,0.085,0.373,1.434,-0.154
"Player 1","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:42 PM",5,0.304,0.516,4.5,11.61,1.22,0.516,1.401,0.308,0.339,1.742,0.308
"Player 1","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:42 PM",6,NA,NA,NA,NA,NA,NA,1.709,0.308,2.188,1.982,0.24
"Player 2","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:55 PM",1,0.466,NA,10.5,NA,NA,NA,NA,NA,0.347,NA,NA
"Player 2","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:55 PM",2,0.492,0.364,11.7,27.82,1.17,0.364,0.102,0.102,0.351,0.597,0.597
"Player 2","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:55 PM",3,0.492,0.354,11.7,28.27,1.18,0.354,-0.207,-0.308,0.491,0.751,0.154
"Player 2","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:55 PM",4,0.492,0.332,11.7,29.36,1.21,0.332,-0.308,-0.102,0.347,2.221,1.47
"Player 2","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:55 PM",5,0.486,0.41,11.4,25.53,1.12,0.41,0.427,0.735,0.347,1.778,-0.443
"Player 2","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:55 PM",6,NA,NA,NA,NA,NA,NA,-0.341,-0.768,2.087,2.684,0.906
"Player 2","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:08 PM",1,0.462,NA,10.3,NA,NA,NA,NA,NA,0.456,NA,NA
"Player 2","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:08 PM",2,0.482,0.376,11.2,26.44,1.17,0.376,0.256,0.256,0.421,0.84,0.84
"Player 2","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:08 PM",3,0.46,0.408,10.2,23.53,1.15,0.408,0.308,0.052,0.41,1.745,0.906
"Player 2","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:08 PM",4,0.474,0.392,10.8,25.18,1.15,0.392,0.755,0.446,0.473,1.693,-0.052
"Player 2","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:08 PM",5,0.472,0.408,10.8,24.48,1.14,0.408,0.686,-0.069,0.547,1.709,0.016
"Player 2","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:56:08 PM",6,NA,NA,NA,NA,NA,NA,1.47,0.784,3.366,2.07,0.361
"Player 3","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:20 PM",1,0.324,NA,5.1,NA,NA,NA,NA,NA,1.49,NA,NA
"Player 3","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:20 PM",2,0.372,0.39,6.7,17.47,1.31,0.39,0.308,0.308,0.368,0.358,0.358
"Player 3","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:20 PM",3,0.376,0.366,6.8,18.33,1.35,0.366,1.06,0.751,0.41,0.922,0.564
"Player 3","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:20 PM",4,0.378,0.396,6.9,17.76,1.29,0.396,1.693,0.633,0.327,1.453,0.531
"Player 3","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:20 PM",5,0.38,0.392,7,17.99,1.3,0.392,1.198,-0.495,0.334,2.375,0.922
"Player 3","5 JUMPS SINGLE LEG RIGHT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:20 PM",6,NA,NA,NA,NA,NA,NA,1.007,-0.19,3.436,2.612,0.236
"Player 3","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:36 PM",1,0.354,NA,6,NA,NA,NA,NA,NA,0.321,NA,NA
"Player 3","5 JUMPS SINGLE LEG LEFT 2D DRIFT","Drift 2D Protocol","11/8/2021","4:55:36 PM",2,0.36,0.364,6.3,17.22,1.38,0.364,0.479,0.479,0.281,0.341,0.341
