"PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherThrows","PitcherTeam","Batter","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","EffectiveVelo","MaxHeight","SpeedDrop","ContactPositionX","ContactPositionY","ContactPositionZ","UTCDate","UTCTime","AutoHitType","System","Catcher","CatcherThrows","CatcherTeam","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence"
1,2024-06-01,1899-12-31 00:36:39.2,1,1,"Pitcher 1","Right","Visitors","Hitter 1","Right","USA","Undefined",1,"Top",0,0,0,"Fastball","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,90.48369,-2.536688,-4.375248,2097.866318,234.624744,1899-12-31 01:45:00,7.01433,1.61986,5.07388,-24.18112,11.15264,14.12091,2.59914,"-1.3363499999999999",82.9399,-6.96682,-1.88717,0.427825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1813,6.56158,-1.21576,50,6.75406,9.34568,-130.8537,-6.73743,-14.23164,26.76444,-20.75998,"Visitors","USA","Coleman Field","USA Baseball","USA",88.10246,NA,7.54378,NA,NA,NA,2024-06-01,1899-12-31 00:36:39.2,NA,"v3","Catcher 1","Right","Visitors",55.42633,-131.95892,13.38222,7.01458,-5.88016,-10.37999,-1.61381,9.93336,-7.11582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
2,2024-06-01,1899-12-31 00:36:54.7,1,2,"Pitcher 1","Right","Visitors","Hitter 1","Right","USA","Undefined",1,"Top",0,1,0,"Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined",0,0,90.56731,-1.879423,-3.047707,2105.16349,237.029215,1899-12-31 02:00:00,6.95308,1.64829,5.13796,-25.72494,9.083,12.43729,3.03641,"-0.18790000000000001",83.64064,-6.575278,-0.84848,0.42463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.96347,5.3052,-1.37243,50,6.75682,6.417,-131.35015,-5.31205,-12.29084,25.13456,-22.81011,"Visitors","USA","Coleman Field","USA Baseball","USA",88.76542,NA,6.92667,NA,NA,NA,2024-06-01,1899-12-31 00:36:54.7,NA,"v3","Catcher 1","Right","Visitors",55.36347,-132.3725,12.56728,6.95402,-4.38424,-11.40506,-1.64361,6.91693,-6.14542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
3,2024-06-01,1899-12-31 00:37:10.4,1,3,"Pitcher 1","Right","Visitors","Hitter 1","Right","USA","Undefined",1,"Top",0,1,1,"Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,91.15676,-2.919474,-1.078955,2153.012599,232.633456,1899-12-31 01:45:00,6.91221,1.58329,4.91486,-23.68883,11.02355,13.07544,2.17472,"1.6525700000000001",84.108,-7.230399,1.228248,0.424047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.78055,6.51595,-1.48955,50,6.60739,1.87114,-132.19381,-7.679,-12.08597,26.25753,-20.55977,"Visitors","USA","Coleman Field","USA Baseball","USA",88.88746,NA,7.04876,NA,NA,NA,2024-06-01,1899-12-31 00:37:10.4,NA,"v3","Catcher 1","Right","Visitors",55.5868,-133.29889,13.12876,6.91236,-6.81372,-10.27989,-1.57901,2.37979,-6.04299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
4,2024-06-01,1899-12-31 00:37:26.9,1,4,"Pitcher 1","Right","Visitors","Hitter 1","Right","USA","Undefined",1,"Top",0,2,1,"Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined",0,0,91.22786,-2.990191,-3.648201,2113.530106,231.173679,1899-12-31 01:45:00,6.75435,1.61309,NA,-22.968,10.43961,11.82241,2.04948,"-0.80134000000000005",84.75095,-7.222774,-1.534669,0.416001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.90555,6.32398,-1.31842,50,6.4924,7.93078,-132.31017,-7.72726,-12.43072,24.13396,-20.79021,"Visitors","USA","Coleman Field","USA Baseball","USA",90.60662,NA,6.47691,NA,NA,NA,2024-06-01,1899-12-31 00:37:26.9,NA,"v3","Catcher 1","Right","Visitors",54.7307,-133.17028,12.06698,6.75458,-6.98632,-10.39511,-1.60895,8.3738,-6.21536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
5,2024-06-01,1899-12-31 00:37:44.3,1,5,"Pitcher 1","Right","Visitors","Hitter 1","Right","USA","Undefined",1,"Top",0,2,2,"Slider","Slider","StrikeCalled","Strikeout","Undefined","Undefined",0,0,79.90447,-0.454033,-0.757111,2450.949561,18.762073,1899-12-31 06:45:00,6.65211,1.66098,4.78342,-43.78636,0.95567,-0.06161,2.57284,"0.93818000000000001",74.85773,-8.292844,-0.767964,0.481426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13744,0.87949,-1.58528,50,6.56793,1.53794,-116.18605,-2.55778,-0.19158,17.72501,-30.94803,"Visitors","USA","Coleman Field","USA Baseball","USA",78.29336,NA,5.04674,NA,NA,NA,2024-06-01,1899-12-31 00:37:44.3,NA,"v3","Catcher 1","Right","Visitors",55.72016,-117.05545,8.86251,6.65616,-1.03981,-15.47401,-1.66094,1.54733,-0.09579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.95284,NA,NA,1.015308,NA,NA,NA,-0.09722,5.78715,5.89443,70.73777,5.32944,54.24688,0.01563,76.73649,-6.92401,5.83943,13.09393,-13.36538,5.92386,50.08275,-2.43762,"High","High","High",NA,NA,"High","High","High"
6,2024-06-01,1899-12-31 00:38:22.8,2,1,"Pitcher 1","Right","Visitors","Hitter 2","Left","USA","Undefined",1,"Top",1,0,0,"Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,91.75463,-0.872441,-0.678963,2085.185151,247.017857,1899-12-31 02:15:00,6.82931,1.64874,5.37871,-25.97135,7.63115,15.66032,3.84703,"2.31724",84.49513,-5.641149,2.106924,0.417213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.01902,4.3752,-1.59924,50,6.73293,0.85289,-133.30421,-3.02216,-14.52319,26.91198,-24.25012,"Visitors","USA","Coleman Field","USA Baseball","USA",90.3435,NA,7.2595,NA,NA,NA,2024-06-01,1899-12-31 00:38:22.8,NA,"v3","Catcher 1","Right","Visitors",55.12215,-134.33432,13.45599,6.83084,-2.09394,-12.12506,-1.64252,1.40879,-7.26159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
7,2024-06-01,1899-12-31 00:38:40.1,2,2,"Pitcher 1","Right","Visitors","Hitter 2","Left","USA","Undefined",1,"Top",1,1,0,"Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined",0,0,91.7718,-2.319815,-1.789277,2062.347587,239.246244,1899-12-31 02:00:00,6.83667,1.52604,5.57924,-23.93214,9.32516,14.07713,2.67347,"1.0274700000000001",84.94259,-6.721855,0.724273,0.415064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.5678,5.59579,-1.38145,50,6.62122,3.53416,-133.28352,-6.27713,-13.76519,25.65213,-21.99579,"Visitors","USA","Coleman Field","USA Baseball","USA",90.8112,NA,6.82921,NA,NA,NA,2024-06-01,1899-12-31 00:38:40.1,NA,"v3","Catcher 1","Right","Visitors",54.92239,-134.22755,12.82606,6.83733,-5.46765,-10.9979,-1.52083,4.04074,-6.8826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
8,2024-06-01,1899-12-31 00:38:56.1,2,3,"Pitcher 1","Right","Visitors","Hitter 2","Left","USA","Undefined",1,"Top",1,1,1,"Slider","Changeup","StrikeCalled","Undefined","Undefined","Undefined",0,0,80.46621,-0.577153,-1.795312,1777.759245,296.234904,1899-12-31 03:45:00,6.85867,1.67165,4.94132,-47.69491,-3.04681,8.96367,2.33835,"0.72133000000000003",74.23594,-9.157868,-0.21117,0.48092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.93733,-0.95449,-1.50499,50,6.76279,3.28221,-116.76317,-2.95661,-6.82605,21.68848,-33.49364,"Visitors","USA","Coleman Field","USA Baseball","USA",78.37569,NA,6.23028,NA,NA,NA,2024-06-01,1899-12-31 00:38:56.1,NA,"v3","Catcher 1","Right","Visitors",55.56079,-117.79155,10.84424,6.86533,-1.36849,-16.74682,-1.66829,3.60587,-3.41303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
9,2024-06-01,1899-12-31 00:39:14.6,2,4,"Pitcher 1","Right","Visitors","Hitter 2","Left","USA","Undefined",1,"Top",1,1,2,"Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined",0,0,91.44005,-2.230597,-4.295761,2131.029435,233.094215,1899-12-31 01:45:00,6.88268,1.8227,5.09789,-23.87478,10.44182,12.55056,2.78409,"-1.1872",84.34183,-6.593412,-2.083584,0.421622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.34622,6.06036,-1.42672,50,6.65278,9.3599,-132.39612,-6.09656,-13.1689,25.63872,-21.31018,"Visitors","USA","Coleman Field","USA Baseball","USA",89.3986,NA,7.09822,NA,NA,NA,2024-06-01,1899-12-31 00:39:14.6,NA,"v3","Catcher 1","Right","Visitors",55.40392,-133.43849,12.81936,6.88303,-5.23016,-10.65509,-1.81814,9.8953,-6.58445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
10,2024-06-01,1899-12-31 00:39:32.7,2,5,"Pitcher 1","Right","Visitors","Hitter 2","Left","USA","Undefined",1,"Top",1,2,2,"Slider","Slider","BallCalled","Undefined","Undefined","Undefined",0,0,79.7866,0.567958,0.415227,1899.054859,194.071042,1899-12-31 12:30:00,6.79826,1.58475,4.97418,-39.36077,6.21095,1.18437,4.05468,"2.07565",72.84922,-6.606526,0.624346,0.485869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46417,3.3713,-1.62586,50,6.82125,-0.88897,-115.6968,-0.26156,-0.6272,22.21967,-27.61883,"Visitors","USA","Coleman Field","USA Baseball","USA",77.57741,NA,6.93738,NA,NA,NA,2024-06-01,1899-12-31 00:39:32.7,NA,"v3","Catcher 1","Right","Visitors",55.52394,-116.75286,11.10984,6.80249,1.05112,-13.80942,-1.58432,-0.85916,-0.3136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA
